threshold,f1,precision,recall,predicted_positives
0.099,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.1,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.101,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.10200000000000001,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.10300000000000001,0.14285714285714285,0.09090909090909091,0.3333333333333333,11
0.10400000000000001,0.15384615384615385,0.1,0.3333333333333333,10
0.10500000000000001,0.15384615384615385,0.1,0.3333333333333333,10
0.106,0.15384615384615385,0.1,0.3333333333333333,10
0.107,0.15384615384615385,0.1,0.3333333333333333,10
0.108,0.15384615384615385,0.1,0.3333333333333333,10
0.109,0.15384615384615385,0.1,0.3333333333333333,10
0.11,0.15384615384615385,0.1,0.3333333333333333,10
0.111,0.15384615384615385,0.1,0.3333333333333333,10
0.112,0.15384615384615385,0.1,0.3333333333333333,10
0.113,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.114,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.115,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.116,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.117,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.11800000000000001,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.11900000000000001,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.12000000000000001,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.121,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.122,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.123,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.124,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.125,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.126,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.127,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.128,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.129,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.13,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.131,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.132,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.133,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.134,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.135,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.136,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.137,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.138,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.139,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14100000000000001,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14200000000000002,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14300000000000002,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14400000000000002,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.14500000000000002,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.146,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.147,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.148,0.16666666666666666,0.1111111111111111,0.3333333333333333,9
0.149,0.0,0.0,0.0,8
0.15,0.0,0.0,0.0,8
0.151,0.0,0.0,0.0,8
0.152,0.0,0.0,0.0,8
0.153,0.0,0.0,0.0,8
0.154,0.0,0.0,0.0,8
0.155,0.0,0.0,0.0,8
0.156,0.0,0.0,0.0,8
0.157,0.0,0.0,0.0,8
0.158,0.0,0.0,0.0,8
0.159,0.0,0.0,0.0,8
0.16,0.0,0.0,0.0,8
0.161,0.0,0.0,0.0,8
0.162,0.0,0.0,0.0,8
0.163,0.0,0.0,0.0,8
0.164,0.0,0.0,0.0,7
0.165,0.0,0.0,0.0,7
0.166,0.0,0.0,0.0,7
0.167,0.0,0.0,0.0,7
0.168,0.0,0.0,0.0,7
